time,node,decisions
1000,pop0,185
1000,pop1,271
1000,pop2,2930
1000,pop3,5166
1000,pop4,499
1000,pop5,687
1000,pop6,75
1000,pop7,682
1000,pop8,450
1000,pop9,648
1000,pop10,234
1000,pop11,2809
1000,pop12,0
1000,pop13,210
1000,pop14,1611
1000,pop15,1577
1000,pop16,984
1000,pop17,3594
1000,pop18,1403
1000,pop19,732
1000,pop20,6602
1000,pop21,277
1000,pop22,323
1000,pop23,304
1000,pop24,1808
1000,pop25,688
1000,pop26,279
1000,pop27,3629
1000,pop28,2712
1000,pop29,3459
1000,pop30,213
1000,pop31,1089
1000,pop32,1933
1000,pop33,2770
1000,pop34,2260
1000,pop35,1868
1000,pop36,401
1000,pop37,0
1000,pop38,44
1000,pop39,650
1000,pop40,836
1000,pop41,4284
1000,pop42,774
1000,pop43,690
1000,pop44,2647
1000,pop45,3004
1000,pop46,0
1000,pop47,220
1000,pop48,1069
1000,pop49,1725
1000,pop50,253
1000,pop51,1570
1000,pop52,420
1000,pop53,608
1000,pop54,577
1000,pop55,397
1000,pop56,807
1000,pop57,21
1000,pop58,725
1000,pop59,423
1000,pop60,594
1000,pop61,5108
1000,pop62,6441
1000,pop63,6
1000,pop64,1080
1000,pop65,56
1000,pop66,829
1000,pop67,998
1000,pop68,2
1000,pop69,854
1000,pop70,2632
1000,pop71,360
1000,pop72,3163
1000,pop73,2052
1000,pop74,211
1000,pop75,209
1000,pop76,4
1000,pop77,365
1000,pop78,1488
1000,pop79,4099
1000,pop80,3083
1000,pop81,1749
1000,pop82,811
1000,pop83,437
1000,pop84,239
1000,pop85,770
1000,pop86,3402
1000,pop87,755
1000,pop88,502
1000,pop89,485
1000,pop90,1552
1000,pop91,831
1000,pop92,1086
1000,pop93,2197
1000,pop94,5780
1000,pop95,1503
1000,pop96,739
1000,pop97,356
1000,pop98,957
1000,pop99,2319
1000,pop100,3471
1000,pop101,1274
1000,pop102,1371
1000,pop103,2353
1000,pop104,3
1000,pop105,1523
1000,pop106,1160
1000,pop107,1954
1000,pop108,2830
1000,pop109,1070
1000,pop110,1966
1000,pop111,1423
1000,pop112,884
1000,pop113,916
1000,pop114,3301
1000,pop115,2054
1000,pop116,2466
1000,pop117,2135
1000,pop118,57
1000,pop119,638
1000,pop120,3221
1000,pop121,1868
1000,pop122,0
1000,pop123,6085
1000,pop124,3645
1000,pop125,6653
1000,pop126,1140
1000,pop127,1227
1000,pop128,3266
1000,pop129,5338
1000,pop130,4219
1000,pop131,7784
1000,pop132,3689
1000,pop133,2166
1000,pop134,1263
1000,pop135,416
1000,pop136,1
1000,pop137,442
1000,pop138,644
1000,pop139,3059
1000,pop140,2913
1000,pop141,4272
1000,pop142,2773
1000,pop143,740
1000,pop144,6474
1000,pop145,207
1000,pop146,953
1000,pop147,210
1000,pop148,2725
