time,node,decisions
1000,pop0,3
1000,pop1,3
1000,pop2,1361
1000,pop3,1663
1000,pop4,310
1000,pop5,392
1000,pop6,482
1000,pop7,976
1000,pop8,1447
1000,pop9,1715
1000,pop10,1032
1000,pop11,1257
1000,pop12,622
1000,pop13,650
1000,pop14,2319
1000,pop15,3087
1000,pop16,511
1000,pop17,3495
1000,pop18,51
1000,pop19,424
1000,pop20,4942
1000,pop21,476
1000,pop22,207
1000,pop23,295
1000,pop24,2315
1000,pop25,1936
1000,pop26,442
1000,pop27,1822
1000,pop28,451
1000,pop29,2293
1000,pop30,7
1000,pop31,648
1000,pop32,866
1000,pop33,1979
1000,pop34,811
1000,pop35,370
1000,pop36,1021
1000,pop37,384
1000,pop38,556
1000,pop39,1232
1000,pop40,496
1000,pop41,2909
1000,pop42,311
1000,pop43,155
1000,pop44,1278
1000,pop45,1120
1000,pop46,227
1000,pop47,275
1000,pop48,646
1000,pop49,560
1000,pop50,1117
1000,pop51,1297
1000,pop52,526
1000,pop53,699
1000,pop54,234
1000,pop55,686
1000,pop56,1172
1000,pop57,705
1000,pop58,1075
1000,pop59,607
1000,pop60,4
1000,pop61,2402
1000,pop62,1515
1000,pop63,225
1000,pop64,482
1000,pop65,4
1000,pop66,682
1000,pop67,717
1000,pop68,912
1000,pop69,5
1000,pop70,4763
1000,pop71,365
1000,pop72,498
1000,pop73,566
1000,pop74,9
1000,pop75,1107
1000,pop76,357
1000,pop77,1609
1000,pop78,153
1000,pop79,1959
1000,pop80,258
1000,pop81,1640
1000,pop82,111
1000,pop83,606
1000,pop84,368
1000,pop85,108
1000,pop86,1942
1000,pop87,1704
1000,pop88,266
1000,pop89,266
1000,pop90,480
1000,pop91,1086
1000,pop92,1162
1000,pop93,2109
1000,pop94,6065
1000,pop95,1150
1000,pop96,314
1000,pop97,963
1000,pop98,1344
1000,pop99,1474
1000,pop100,1885
1000,pop101,1369
1000,pop102,1311
1000,pop103,3652
1000,pop104,307
1000,pop105,1941
1000,pop106,2379
1000,pop107,1771
1000,pop108,1481
1000,pop109,1873
1000,pop110,2643
1000,pop111,486
1000,pop112,1072
1000,pop113,1457
1000,pop114,2493
1000,pop115,2413
1000,pop116,4184
1000,pop117,832
1000,pop118,319
1000,pop119,322
1000,pop120,3192
1000,pop121,2478
1000,pop122,336
1000,pop123,1692
1000,pop124,4028
1000,pop125,5373
1000,pop126,429
1000,pop127,310
1000,pop128,1367
1000,pop129,3019
1000,pop130,4937
1000,pop131,6244
1000,pop132,3850
1000,pop133,1179
1000,pop134,922
1000,pop135,495
1000,pop136,0
1000,pop137,107
1000,pop138,281
1000,pop139,2148
1000,pop140,959
1000,pop141,3913
1000,pop142,2027
1000,pop143,268
1000,pop144,4475
1000,pop145,709
1000,pop146,246
1000,pop147,244
1000,pop148,2064
