time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,5,0,0,5,0,0,0,2.6,0,0.0,0,0,0.0,0.0
100,123,80,0,43,0,34.64512052585887,4.910814985387499,2.6504065040650406,5.032332563510392,17.715447154471544,21.7375,18.8125,0.09178508890086215,0.021251122485632174
200,223,184,0,39,0,34.87490568788513,4.951693573532389,2.663677130044843,4.925085130533485,19.457399103139014,21.657608695652176,18.42391304347826,0.08552139592854197,0.019862207450491644
300,338,293,0,45,0,35.1519017100868,4.997460463255881,2.6893491124260356,4.986890021849963,20.257396449704142,21.81911262798635,18.409556313993175,0.08645046345368752,0.020389331168294174
400,456,410,0,46,0,35.067162021777875,5.004669072775686,2.6951754385964914,4.984848484848484,20.20175438596491,21.53170731707317,18.246341463414634,0.08754687642916349,0.019937082338984804
500,568,533,0,35,0,35.318531827071986,5.010557520532592,2.6901408450704225,4.99329702555509,20.984154929577464,21.851782363977485,18.405253283302063,0.08814102354105814,0.020439459160786332
600,688,645,0,43,0,35.420915400800034,5.0069770062591825,2.681686046511628,4.9536152796725785,21.11046511627907,21.987596899224805,18.510077519379845,0.08963826383820037,0.02104929789152749
700,801,761,0,40,0,35.291952178039786,5.0023177396460055,2.6741573033707864,4.9421631000578365,21.335830212234708,21.932982917214193,18.530880420499344,0.08808522941085187,0.020731171544916948
800,925,873,0,52,0,35.238567171969684,5.002696970206105,2.676756756756757,4.932483120780195,21.324324324324323,21.892325315005728,18.541809851088203,0.08954697953268978,0.020954691335967134
900,1047,995,0,52,0,35.514738215374074,5.00601871520716,2.6666666666666665,4.954755106523171,21.54632282712512,22.18391959798995,18.690452261306532,0.09018870499795512,0.021480592292912798
1000,1138,1103,0,35,0,35.66541240018403,5.009577746504153,2.6678383128295255,4.949523052464229,21.885764499121265,22.298277425203988,18.771532184950136,0.08999777222602527,0.021575800009547657
