time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay_of_dropped_flows,avg_end2end_delay_of_processed_flows,avg_sf_processing_delay,avg_sfc_length,avg_crossed_link_delay,avg_path_delay,avg_path_delay_of_processed_flows,avg_ingress_2_egress_path_delay_of_processed_flows,avg_node_load,avg_link_load
0,24,0,0,24,0,0,0,2.5833333333333335,0,0.0,0,0,0.0,0.0
100,564,189,1,374,18.0,47.01318697983236,4.992665810332468,2.650709219858156,4.35456369107322,30.79078014184397,34.20634920634921,28.650793650793652,0.23031715068493042,0.177274981052631
200,1107,694,12,401,29.75,62.67034747090344,4.9779690676429365,2.6639566395663956,4.482250136537411,44.482384823848236,49.44812680115274,34.762247838616716,0.29051988535115114,0.23535798088111387
300,1628,1197,21,410,35.92184733198894,67.91092439543904,4.96331929590342,2.67014742014742,4.578760077842647,50.58292383292383,54.72932330827068,36.431913116123646,0.30255220285279727,0.2554875080944838
400,2127,1716,36,375,31.747937902275616,70.90121540239035,4.9794622780612245,2.6661965209214857,4.584590018900551,53.5989656793606,57.63927738927739,36.92773892773893,0.3063213930585192,0.2606869485350143
500,2679,2216,40,423,30.923144112048057,72.0799762274086,4.977071371119244,2.6606942889137737,4.589357398475183,55.050018663680476,58.868231046931406,37.30099277978339,0.3098266832767897,0.26701240294512096
600,3215,2753,52,410,34.188419397976446,73.22499299183211,4.982209054819322,2.6600311041990667,4.600766013203649,56.791912908242615,60.006175081729026,37.85034507809662,0.3143250115094259,0.2734479188838097
700,3719,3268,55,396,36.66133349638306,73.83466179513884,4.986373467376389,2.660930357623017,4.592522247593846,57.865286367303035,60.58567931456548,37.8843329253366,0.31547288060639417,0.2767337780340737
800,4239,3772,60,407,36.88599117599263,74.06055655194751,4.991057049312947,2.65793819297004,4.59806052499582,58.388535031847134,60.815482502651115,37.85710498409332,0.31602526665670866,0.27833485436728844
900,4763,4285,65,413,36.463991854762426,74.69257642585856,4.993626443418523,2.6577787108964936,4.599817208512861,59.1727902582406,61.43080513418903,37.99719953325554,0.31709951100193307,0.2799828167657989
1000,5301,4832,73,396,35.91903746952854,74.86496366573714,4.985807694868808,2.66044142614601,4.5971386861313865,59.40464063384267,61.61237582781457,37.97868377483444,0.3184381375873524,0.2806329375957878
