time,node,decisions
1000,pop0,1
1000,pop1,808
1000,pop2,2401
1000,pop3,2769
1000,pop4,138
1000,pop5,412
1000,pop6,313
1000,pop7,628
1000,pop8,400
1000,pop9,355
1000,pop10,605
1000,pop11,4427
1000,pop12,0
1000,pop13,396
1000,pop14,512
1000,pop15,779
1000,pop16,920
1000,pop17,2253
1000,pop18,590
1000,pop19,497
1000,pop20,8046
1000,pop21,183
1000,pop22,384
1000,pop23,180
1000,pop24,1340
1000,pop25,2202
1000,pop26,548
1000,pop27,1716
1000,pop28,783
1000,pop29,1583
1000,pop30,603
1000,pop31,1564
1000,pop32,1941
1000,pop33,4755
1000,pop34,3251
1000,pop35,2011
1000,pop36,215
1000,pop37,164
1000,pop38,593
1000,pop39,416
1000,pop40,1398
1000,pop41,3664
1000,pop42,652
1000,pop43,1398
1000,pop44,1627
1000,pop45,2619
1000,pop46,164
1000,pop47,629
1000,pop48,219
1000,pop49,1273
1000,pop50,2208
1000,pop51,3674
1000,pop52,1822
1000,pop53,1393
1000,pop54,827
1000,pop55,38
1000,pop56,497
1000,pop57,816
1000,pop58,1215
1000,pop59,498
1000,pop60,431
1000,pop61,4027
1000,pop62,3040
1000,pop63,2
1000,pop64,1421
1000,pop65,792
1000,pop66,1436
1000,pop67,1951
1000,pop68,183
1000,pop69,7
1000,pop70,2616
1000,pop71,1095
1000,pop72,2320
1000,pop73,1897
1000,pop74,2
1000,pop75,26
1000,pop76,803
1000,pop77,1240
1000,pop78,977
1000,pop79,4161
1000,pop80,2811
1000,pop81,3978
1000,pop82,958
1000,pop83,221
1000,pop84,385
1000,pop85,920
1000,pop86,3662
1000,pop87,908
1000,pop88,1294
1000,pop89,1174
1000,pop90,899
1000,pop91,2571
1000,pop92,2601
1000,pop93,3191
1000,pop94,4037
1000,pop95,1070
1000,pop96,426
1000,pop97,843
1000,pop98,1413
1000,pop99,491
1000,pop100,2591
1000,pop101,1406
1000,pop102,1879
1000,pop103,1576
1000,pop104,202
1000,pop105,2024
1000,pop106,396
1000,pop107,2762
1000,pop108,2009
1000,pop109,1963
1000,pop110,2811
1000,pop111,896
1000,pop112,1657
1000,pop113,3266
1000,pop114,1310
1000,pop115,808
1000,pop116,3859
1000,pop117,1228
1000,pop118,640
1000,pop119,962
1000,pop120,4709
1000,pop121,3432
1000,pop122,171
1000,pop123,3874
1000,pop124,3914
1000,pop125,4646
1000,pop126,1950
1000,pop127,1526
1000,pop128,2292
1000,pop129,5722
1000,pop130,5228
1000,pop131,5182
1000,pop132,1818
1000,pop133,2168
1000,pop134,5274
1000,pop135,748
1000,pop136,1031
1000,pop137,759
1000,pop138,381
1000,pop139,592
1000,pop140,5390
1000,pop141,4438
1000,pop142,1597
1000,pop143,224
1000,pop144,4386
1000,pop145,591
1000,pop146,589
1000,pop147,1351
1000,pop148,1560
